Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Country,Transaction_Type,Channel,Merchant_Category,Customer_Name,Customer_Age,Account_Type,Customer_Risk_Level,Previous_Transaction_Count,Large_Transaction_Flag,International_Transaction_Flag,High_Frequency_Flag,High_Risk_Customer_Flag,High_Value_Flag,Risk_Score,Risk_Category,Is_Suspicious
TXN0007993,CUST00950,2025-01-01 20:00:00,1701.0,India,Bank Transfer,Online Banking,Real Estate,Priya Bansal,26,Savings,Low,0,0,0,0,0,0,12,Low,No
TXN0006191,CUST01258,2025-01-01 20:00:00,9005.0,India,Online Payment,Online Banking,Retail,Ananya Mehta,39,Savings,Low,0,0,0,0,0,0,8,Low,No
TXN0000311,CUST00042,2025-01-01 21:00:00,6379.0,India,International Transfer,Online Banking,Food,Rohit Sharma,40,Savings,Low,0,0,1,0,0,0,29,Low,No
TXN0000749,CUST00389,2025-01-01 22:00:00,16471.0,India,Cash Deposit,Card,Real Estate,Riya Gupta,57,Current,Low,0,0,0,0,0,0,15,Low,No
TXN0006338,CUST01113,2025-01-01 22:00:00,18317.0,India,Cash Deposit,Online Banking,Retail,Rohan Agarwal,60,Savings,Medium,0,0,0,0,0,0,10,Low,No
TXN0003746,CUST01102,2025-01-01 23:00:00,3511.0,United Arab Emirates,Card Payment,Branch,Retail,Karan Saxena,66,Savings,High,0,0,0,0,1,0,26,Low,No
TXN0003039,CUST00271,2025-01-02 01:00:00,5064.0,India,Cash Deposit,Online Banking,Travel,Simran Joshi,31,Savings,Medium,0,0,0,0,0,0,12,Low,No
TXN0007001,CUST01404,2025-01-02 02:00:00,3113.0,United Kingdom,Card Payment,Mobile Banking,Retail,Simran Kapoor,21,Current,Low,0,0,0,0,0,0,2,Low,No
TXN0006412,CUST00542,2025-01-02 03:00:00,532.0,Singapore,Online Payment,ATM,Jewelry,Isha Yadav,46,Savings,Low,0,0,0,0,0,0,12,Low,No
TXN0000603,CUST00123,2025-01-02 04:00:00,7558.0,France,Bank Transfer,Card,Retail,Aarav Jain,60,Current,Medium,0,0,0,0,0,0,13,Low,No
TXN0001349,CUST00533,2025-01-02 08:00:00,7061.0,India,Bank Transfer,Card,Travel,Vikram Soni,61,Savings,High,0,0,0,0,1,0,25,Low,No
TXN0006082,CUST00856,2025-01-02 09:00:00,23682.0,India,Card Payment,Online Banking,Food,Aman Saxena,49,Current,Low,0,0,0,0,0,0,8,Low,No
TXN0003447,CUST00640,2025-01-02 12:00:00,21917.0,Canada,Bank Transfer,Card,Food,Vikram Verma,43,Savings,Low,0,0,0,0,0,0,15,Low,No
TXN0001806,CUST00827,2025-01-02 13:00:00,8523.0,United Kingdom,Card Payment,Online Banking,Travel,Pooja Verma,52,Savings,Low,0,0,0,0,0,0,7,Low,No
TXN0009665,CUST00902,2025-01-02 13:00:00,10638.0,United Kingdom,Card Payment,Online Banking,Retail,Arjun Saxena,44,Current,Medium,0,0,0,0,0,0,1,Low,No
TXN0008231,CUST01496,2025-01-02 14:00:00,4530.0,United Kingdom,Bank Transfer,ATM,Financial Services,Aditya Sharma,38,Current,Medium,0,0,0,0,0,0,14,Low,No
TXN0008717,CUST00884,2025-01-02 14:00:00,206823.0,United Kingdom,International Transfer,Online Banking,Real Estate,Aman Gupta,45,Business,Low,0,0,1,0,0,1,38,Medium,No
TXN0003504,CUST01466,2025-01-02 15:00:00,791.4,India,Cash Deposit,Mobile Banking,Retail,Ankit Kapoor,38,Savings,Low,0,0,0,0,0,0,13,Low,No
TXN0009875,CUST00475,2025-01-02 16:00:00,9465.0,Germany,Cash Deposit,Card,Food,Ankit Chopra,39,Current,Low,0,0,0,0,0,0,8,Low,No
TXN0004119,CUST00361,2025-01-02 19:00:00,5414.0,India,Cash Deposit,Card,Travel,Rahul Shah,28,Current,Medium,0,0,0,0,0,0,13,Low,No
TXN0005933,CUST00360,2025-01-02 21:00:00,42572.0,Germany,Cash Deposit,Branch,Jewelry,Aarav Kapoor,25,Business,Low,0,0,0,0,0,0,9,Low,No
TXN0001854,CUST01084,2025-01-02 21:00:00,1964.0,United States,International Transfer,Mobile Banking,Jewelry,Ananya Gupta,25,Savings,Medium,0,0,1,0,0,0,29,Low,No
TXN0005680,CUST00104,2025-01-02 21:00:00,6433.0,United States,Card Payment,Online Banking,Retail,Pooja Verma,68,Current,Low,0,0,0,0,0,0,11,Low,No
TXN0005166,CUST00608,2025-01-03 00:00:00,1919.0,India,Bank Transfer,Mobile Banking,Jewelry,Arjun Soni,49,Savings,Low,0,0,0,0,0,0,9,Low,No
TXN0003874,CUST00311,2025-01-03 03:00:00,38671.0,Germany,International Transfer,Card,Jewelry,Yash Malhotra,38,Savings,Medium,0,0,1,0,0,0,30,Medium,No
TXN0000889,CUST00589,2025-01-03 07:00:00,12595.74,United States,International Transfer,Mobile Banking,Jewelry,Aarav Soni,60,Current,Low,0,0,1,0,0,0,30,Medium,No
TXN0004601,CUST01472,2025-01-03 08:00:00,821.0,India,Online Payment,Mobile Banking,Healthcare,Rohan Singh,39,Business,Medium,0,0,0,0,0,0,10,Low,No
TXN0000733,CUST00732,2025-01-03 08:00:00,34128.47,Hong Kong,Card Payment,Card,Travel,Rahul Chopra,38,Current,Medium,0,0,0,0,0,0,6,Low,No
TXN0005108,CUST01041,2025-01-03 08:00:00,720.0,India,Cash Deposit,Online Banking,Food,Mohit Chopra,47,Current,Low,0,0,0,0,0,0,11,Low,No
TXN0009672,CUST00997,2025-01-03 10:00:00,82452.0,Germany,Online Payment,Mobile Banking,Travel,Simran Mishra,29,Current,Low,0,0,0,0,0,0,8,Low,No
TXN0007512,CUST00432,2025-01-03 10:00:00,3767.0,India,Bank Transfer,Card,Financial Services,Vikram Shah,48,Savings,Low,0,0,0,0,0,0,19,Low,No
TXN0009656,CUST01300,2025-01-03 12:00:00,57506.0,India,Online Payment,Online Banking,Retail,Vikram Sharma,25,Current,Medium,0,0,0,0,0,0,13,Low,No
TXN0006503,CUST00394,2025-01-03 13:00:00,1647.0,India,International Transfer,Branch,Jewelry,Isha Kumar,26,Savings,Low,0,0,1,0,0,0,26,Low,No
TXN0007807,CUST00406,2025-01-03 13:00:00,4326.0,India,Online Payment,Mobile Banking,Retail,Aditya Patel,42,Savings,Low,0,0,0,0,0,0,12,Low,No
TXN0009919,CUST00262,2025-01-03 14:00:00,30013.0,India,Card Payment,Card,Financial Services,Mohit Malhotra,32,Current,Low,0,0,0,0,0,0,17,Low,No
TXN0005561,CUST00391,2025-01-03 15:00:00,500.0,Singapore,International Transfer,Mobile Banking,Healthcare,Neha Yadav,57,Savings,Medium,0,0,1,0,0,0,21,Low,No
TXN0009788,CUST00031,2025-01-03 16:00:00,7472.0,United States,Online Payment,Branch,Financial Services,Rohan Bansal,47,Savings,Low,0,0,0,0,0,0,10,Low,No
TXN0000273,CUST00095,2025-01-03 16:00:00,2448.0,India,Card Payment,Mobile Banking,Healthcare,Ananya Verma,68,Savings,Low,0,0,0,0,0,0,13,Low,No
TXN0006466,CUST00823,2025-01-03 16:00:00,3031.0,India,Cash Withdrawal,ATM,Food,Arjun Shah,54,Business,Low,0,0,0,0,0,0,14,Low,No
TXN0003159,CUST00262,2025-01-03 17:00:00,1574.0,India,Cash Deposit,Mobile Banking,Real Estate,Mohit Malhotra,32,Current,Low,1,0,0,0,0,0,12,Low,No
TXN0006722,CUST01359,2025-01-03 17:00:00,8378.0,United Kingdom,Cash Deposit,Online Banking,Retail,Aman Shah,58,Savings,Medium,0,0,0,0,0,0,13,Low,No
TXN0002143,CUST01340,2025-01-03 18:00:00,5196.0,Australia,Cash Deposit,Branch,Electronics,Kavya Mehta,32,Savings,Low,0,0,0,0,0,0,11,Low,No
TXN0003799,CUST00609,2025-01-03 20:00:00,30792.0,Germany,Online Payment,Card,Healthcare,Vivaan Sharma,59,Current,Medium,0,0,0,0,0,0,11,Low,No
TXN0005172,CUST00219,2025-01-03 22:00:00,4607.0,United States,Cash Withdrawal,Branch,Real Estate,Arjun Verma,60,Savings,Low,0,0,0,0,0,0,14,Low,No
TXN0006411,CUST00826,2025-01-03 23:00:00,13172.0,France,Bank Transfer,Mobile Banking,Real Estate,Yash Chopra,27,Savings,Medium,0,0,0,0,0,0,9,Low,No
TXN0006265,CUST00859,2025-01-03 23:00:00,1955.0,Singapore,Bank Transfer,Card,Financial Services,Aditi Mishra,48,Savings,High,0,0,0,0,1,0,31,Medium,No
TXN0003492,CUST00265,2025-01-03 23:00:00,2010.0,India,Online Payment,Mobile Banking,Electronics,Yash Jain,59,Current,Low,0,0,0,0,0,0,11,Low,No
TXN0001952,CUST01262,2025-01-03 23:00:00,7427.0,India,Cash Withdrawal,Online Banking,Food,Nikhil Mehta,30,Savings,Low,0,0,0,0,0,0,14,Low,No
TXN0003131,CUST01453,2025-01-04 01:00:00,6533.0,India,Bank Transfer,Online Banking,Jewelry,Nikhil Patel,67,Current,Low,0,0,0,0,0,0,18,Low,No
TXN0009769,CUST01006,2025-01-04 01:00:00,5049.0,India,Bank Transfer,Card,Electronics,Simran Jain,41,Business,High,0,0,0,0,1,0,30,Medium,No
TXN0003744,CUST01022,2025-01-04 04:00:00,5195.0,India,Online Payment,Mobile Banking,Real Estate,Kavya Yadav,30,Current,High,0,0,0,0,1,0,34,Medium,No
TXN0001258,CUST00735,2025-01-04 04:00:00,3875.0,India,Cash Withdrawal,Mobile Banking,Healthcare,Riya Chopra,64,Current,High,0,0,0,0,1,0,28,Low,No
TXN0006431,CUST00445,2025-01-04 06:00:00,2981.0,India,Bank Transfer,Online Banking,Real Estate,Neha Agarwal,44,Savings,Low,0,0,0,0,0,0,10,Low,No
TXN0008841,CUST01180,2025-01-04 06:00:00,15345.0,Singapore,Online Payment,Mobile Banking,Retail,Aditi Kumar,37,Savings,Medium,0,0,0,0,0,0,10,Low,No
TXN0005995,CUST00167,2025-01-04 07:00:00,3025.0,Singapore,Online Payment,Card,Healthcare,Riya Soni,47,Current,Low,0,0,0,0,0,0,11,Low,No
TXN0001928,CUST00689,2025-01-04 08:00:00,7710.0,United Kingdom,Bank Transfer,Online Banking,Travel,Sneha Joshi,32,Savings,High,0,0,0,0,1,0,27,Low,No
TXN0002852,CUST00308,2025-01-04 08:00:00,4633.0,India,International Transfer,Mobile Banking,Retail,Rahul Mehta,48,Savings,Low,0,0,1,0,0,0,23,Low,No
TXN0003691,CUST01240,2025-01-04 09:00:00,7612.0,India,Card Payment,ATM,Retail,Aarav Saxena,24,Current,Low,0,0,0,0,0,0,8,Low,No
TXN0003031,CUST00234,2025-01-04 09:00:00,7373.0,Singapore,Card Payment,Card,Healthcare,Nikhil Chopra,28,Savings,Low,0,0,0,0,0,0,11,Low,No
TXN0008469,CUST00899,2025-01-04 12:00:00,4255.0,India,Card Payment,Mobile Banking,Real Estate,Rohit Saxena,69,Current,Low,0,0,0,0,0,0,12,Low,No
TXN0008095,CUST01234,2025-01-04 13:00:00,9616.0,India,Card Payment,Branch,Real Estate,Ananya Saxena,55,Business,Low,0,0,0,0,0,0,14,Low,No
TXN0005869,CUST00160,2025-01-04 17:00:00,5092.0,United States,Bank Transfer,Mobile Banking,Financial Services,Varun Gupta,42,Current,Low,0,0,0,0,0,0,10,Low,No
TXN0000650,CUST00786,2025-01-04 19:00:00,5189.0,United Arab Emirates,Card Payment,Card,Jewelry,Arjun Kumar,57,Savings,Low,0,0,0,0,0,0,12,Low,No
TXN0004818,CUST00672,2025-01-04 20:00:00,18363.0,India,Cash Deposit,ATM,Jewelry,Vivaan Kapoor,31,Savings,Low,0,0,0,0,0,0,12,Low,No
TXN0003871,CUST01257,2025-01-04 20:00:00,14402.0,United Arab Emirates,Card Payment,Online Banking,Retail,Aditi Gupta,55,Savings,Low,0,0,0,0,0,0,4,Low,No
TXN0001244,CUST01333,2025-01-04 21:00:00,500.0,India,International Transfer,Online Banking,Electronics,Priya Patel,38,Current,Low,0,0,1,0,0,0,26,Low,No
TXN0008424,CUST00248,2025-01-04 22:00:00,58848.0,Hong Kong,Bank Transfer,Mobile Banking,Electronics,Ankit Gupta,22,Savings,Low,1,0,0,0,0,0,11,Low,No
TXN0003978,CUST01137,2025-01-04 23:00:00,819.0,India,Bank Transfer,Mobile Banking,Retail,Aarav Jain,41,Current,Low,0,0,0,0,0,0,11,Low,No
TXN0002295,CUST00590,2025-01-05 00:00:00,9439.0,India,International Transfer,Mobile Banking,Travel,Karan Agarwal,37,Current,Low,0,0,1,0,0,0,31,Medium,No
TXN0009847,CUST00797,2025-01-05 02:00:00,6743.0,India,Bank Transfer,Online Banking,Retail,Rohit Mishra,23,Savings,Low,0,0,0,0,0,0,11,Low,No
TXN0006772,CUST01376,2025-01-05 02:00:00,40065.0,India,Online Payment,Online Banking,Food,Mohit Patel,47,Savings,Medium,0,0,0,0,0,0,4,Low,No
TXN0007182,CUST00462,2025-01-05 04:00:00,3095.0,India,Bank Transfer,Card,Travel,Yash Sharma,32,Savings,Low,0,0,0,0,0,0,10,Low,No
TXN0004078,CUST00315,2025-01-05 04:00:00,1640.0,Canada,Bank Transfer,Online Banking,Food,Priya Chopra,29,Current,Medium,0,0,0,0,0,0,3,Low,No
TXN0001546,CUST00218,2025-01-05 08:00:00,2617.58,India,Cash Withdrawal,Online Banking,Jewelry,Isha Singh,21,Savings,Low,0,0,0,0,0,0,12,Low,No
TXN0006588,CUST00246,2025-01-05 08:00:00,603.0,United Kingdom,Bank Transfer,Mobile Banking,Financial Services,Simran Mehta,38,Savings,Low,0,0,0,0,0,0,10,Low,No
TXN0000911,CUST00579,2025-01-05 08:00:00,83580.0,Germany,Cash Deposit,Online Banking,Jewelry,Neha Rathi,34,Business,Low,0,0,0,0,0,0,10,Low,No
TXN0006514,CUST00487,2025-01-05 09:00:00,3388.0,United Arab Emirates,Online Payment,Mobile Banking,Travel,Aditya Singh,43,Savings,High,0,0,0,0,1,0,33,Medium,No
TXN0009067,CUST00176,2025-01-05 09:00:00,5981.0,India,Cash Deposit,Online Banking,Financial Services,Karan Mehta,60,Savings,Low,0,0,0,0,0,0,7,Low,No
TXN0000892,CUST00359,2025-01-05 09:00:00,3113.0,United Arab Emirates,Card Payment,Card,Travel,Aditi Kapoor,58,Savings,Medium,0,0,0,0,0,0,15,Low,No
TXN0006547,CUST00938,2025-01-05 10:00:00,7499.0,United States,International Transfer,Online Banking,Food,Varun Joshi,65,Current,Low,0,0,1,0,0,0,23,Low,No
TXN0005959,CUST00948,2025-01-05 10:00:00,5111.0,India,Cash Withdrawal,Mobile Banking,Real Estate,Aman Bansal,48,Current,Low,0,0,0,0,0,0,4,Low,No
TXN0008763,CUST00976,2025-01-05 10:00:00,4664.0,India,Online Payment,Branch,Travel,Vivaan Soni,22,Savings,Low,0,0,0,0,0,0,13,Low,No
TXN0004102,CUST01291,2025-01-05 11:00:00,37131.0,France,Cash Deposit,ATM,Real Estate,Rohit Chopra,25,Savings,Medium,0,0,0,0,0,0,5,Low,No
TXN0003528,CUST00855,2025-01-05 11:00:00,3496.0,India,Cash Deposit,Mobile Banking,Food,Riya Agarwal,61,Savings,Low,0,0,0,0,0,0,14,Low,No
TXN0001568,CUST00760,2025-01-05 12:00:00,8239.0,India,Bank Transfer,Card,Retail,Riya Gupta,44,Savings,Medium,0,0,0,0,0,0,16,Low,No
TXN0000901,CUST00278,2025-01-05 13:00:00,2312.0,India,Card Payment,Card,Healthcare,Ankit Bansal,48,Savings,Low,0,0,0,0,0,0,9,Low,No
TXN0004001,CUST00203,2025-01-05 14:00:00,20760.0,India,Bank Transfer,Mobile Banking,Real Estate,Vivaan Jain,61,Savings,Low,0,0,0,0,0,0,5,Low,No
TXN0008585,CUST01286,2025-01-05 15:00:00,5383.0,India,Bank Transfer,Branch,Travel,Aditi Verma,47,Business,Low,0,0,0,0,0,0,7,Low,No
TXN0008835,CUST01388,2025-01-05 17:00:00,2705.0,India,Cash Deposit,Card,Jewelry,Pooja Soni,21,Savings,Low,0,0,0,0,0,0,11,Low,No
TXN0003722,CUST00112,2025-01-05 18:00:00,17142.0,United Kingdom,Cash Deposit,Online Banking,Healthcare,Pooja Joshi,24,Current,Low,0,0,0,0,0,0,6,Low,No
TXN0001618,CUST01010,2025-01-05 21:00:00,18354.0,United States,Bank Transfer,Branch,Retail,Arjun Verma,22,Savings,Medium,0,0,0,0,0,0,13,Low,No
TXN0003347,CUST00411,2025-01-06 00:00:00,1269.0,United States,Card Payment,Card,Food,Rohit Mishra,69,Savings,Low,0,0,0,0,0,0,9,Low,No
TXN0004314,CUST00471,2025-01-06 04:00:00,1018.0,India,Bank Transfer,Mobile Banking,Healthcare,Rohit Agarwal,66,Current,Low,0,0,0,0,0,0,12,Low,No
TXN0009226,CUST00612,2025-01-06 10:00:00,3414.0,United States,Card Payment,Mobile Banking,Jewelry,Nikhil Verma,37,Savings,High,0,0,0,0,1,0,31,Medium,No
TXN0009652,CUST00042,2025-01-06 10:00:00,14351.0,India,Cash Withdrawal,Online Banking,Jewelry,Rohit Sharma,40,Savings,Low,1,0,0,0,0,0,16,Low,No
TXN0005297,CUST01361,2025-01-06 11:00:00,2446.0,India,International Transfer,Branch,Electronics,Rohan Shah,47,Current,Low,1,0,1,0,0,0,27,Low,No
TXN0000460,CUST00903,2025-01-06 12:00:00,3186.0,United Kingdom,Cash Deposit,ATM,Food,Vikram Yadav,67,Savings,Medium,0,0,0,0,0,0,10,Low,No
TXN0008807,CUST01399,2025-01-06 15:00:00,110387.0,India,Cash Withdrawal,Card,Food,Kavya Soni,54,Savings,High,0,0,0,0,1,0,34,Medium,No
TXN0004878,CUST01471,2025-01-06 22:00:00,820.0,India,Bank Transfer,Card,Electronics,Vivaan Mehta,58,Current,High,0,0,0,0,1,0,31,Medium,No
TXN0005111,CUST00482,2025-01-06 23:00:00,11542.0,India,Bank Transfer,Card,Travel,Mohit Gupta,56,Savings,High,0,0,0,0,1,0,39,Medium,No
TXN0003080,CUST00008,2025-01-07 00:00:00,1580.0,United States,Online Payment,Mobile Banking,Financial Services,Riya Kapoor,23,Savings,Low,0,0,0,0,0,0,17,Low,No
TXN0000913,CUST00269,2025-01-07 01:00:00,10296.0,India,Card Payment,ATM,Food,Kavya Mehta,30,Current,Medium,0,0,0,0,0,0,9,Low,No
TXN0007901,CUST01388,2025-01-07 04:00:00,8491.0,India,Bank Transfer,Branch,Jewelry,Pooja Soni,21,Savings,Low,1,0,0,0,0,0,11,Low,No
TXN0001654,CUST00930,2025-01-07 04:00:00,22990.38,United Kingdom,Card Payment,Card,Retail,Vikram Mehta,51,Current,Medium,0,0,0,0,0,0,6,Low,No
TXN0008427,CUST00070,2025-01-07 05:00:00,1749.0,India,Cash Deposit,Card,Travel,Rohit Rathi,60,Savings,Low,0,0,0,0,0,0,5,Low,No
TXN0006810,CUST00419,2025-01-07 07:00:00,505.0,Hong Kong,Cash Deposit,Branch,Jewelry,Simran Singh,54,Savings,Medium,0,0,0,0,0,0,11,Low,No
TXN0002454,CUST00630,2025-01-07 09:00:00,9048.0,India,Cash Deposit,Online Banking,Jewelry,Rohit Verma,52,Savings,Low,0,0,0,0,0,0,10,Low,No
TXN0002670,CUST01262,2025-01-07 10:00:00,14535.0,United Kingdom,Bank Transfer,Branch,Financial Services,Nikhil Mehta,30,Savings,Low,1,0,0,0,0,0,10,Low,No
TXN0007616,CUST00039,2025-01-07 13:00:00,9208.0,United Kingdom,Cash Withdrawal,Mobile Banking,Electronics,Rohit Soni,39,Business,Low,0,0,0,0,0,0,14,Low,No
TXN0004949,CUST00639,2025-01-07 14:00:00,73336.0,Canada,Cash Withdrawal,Branch,Financial Services,Isha Kumar,33,Savings,Low,0,0,0,0,0,0,4,Low,No
TXN0009209,CUST00872,2025-01-07 16:00:00,53690.67,India,International Transfer,Card,Jewelry,Vikram Soni,31,Current,Low,0,0,1,0,0,0,27,Low,No
TXN0009115,CUST01027,2025-01-07 20:00:00,2930.0,United Arab Emirates,Cash Deposit,ATM,Electronics,Aditya Agarwal,21,Savings,Low,0,0,0,0,0,0,8,Low,No
TXN0005487,CUST00777,2025-01-08 02:00:00,59389.0,India,Bank Transfer,Mobile Banking,Real Estate,Vivaan Agarwal,55,Savings,Medium,0,0,0,0,0,0,8,Low,No
TXN0007604,CUST00593,2025-01-08 03:00:00,36232.0,Australia,Online Payment,Mobile Banking,Travel,Isha Rathi,36,Savings,Low,0,0,0,0,0,0,10,Low,No
TXN0004629,CUST01487,2025-01-08 03:00:00,6740.0,India,Online Payment,Card,Real Estate,Kavya Sharma,26,Current,Medium,0,0,0,0,0,0,12,Low,No
TXN0008037,CUST00257,2025-01-08 03:00:00,7968.0,Singapore,Bank Transfer,Branch,Real Estate,Ananya Patel,48,Savings,Low,0,0,0,0,0,0,13,Low,No
TXN0005910,CUST00437,2025-01-08 05:00:00,937.0,India,Cash Deposit,Card,Jewelry,Riya Saxena,54,Savings,Low,0,0,0,0,0,0,14,Low,No
TXN0004053,CUST00118,2025-01-08 06:00:00,15061.0,India,Online Payment,Card,Real Estate,Sneha Bansal,21,Savings,Low,0,0,0,0,0,0,9,Low,No
TXN0009347,CUST00986,2025-01-08 08:00:00,627.0,India,Online Payment,ATM,Food,Aditi Sharma,50,Current,Low,0,0,0,0,0,0,11,Low,No
TXN0001603,CUST00674,2025-01-08 11:00:00,1697.0,United States,Card Payment,Online Banking,Jewelry,Mohit Shah,63,Savings,Low,0,0,0,0,0,0,5,Low,No
TXN0007019,CUST00716,2025-01-08 11:00:00,12486.0,India,International Transfer,Card,Travel,Ananya Kapoor,41,Current,Medium,0,0,1,0,0,0,19,Low,No
TXN0009523,CUST01308,2025-01-08 13:00:00,6830.0,United Arab Emirates,Online Payment,Mobile Banking,Jewelry,Karan Verma,40,Savings,Low,0,0,0,0,0,0,6,Low,No
TXN0009112,CUST00868,2025-01-08 14:00:00,4727.0,United States,Online Payment,Card,Electronics,Simran Mishra,29,Savings,Medium,0,0,0,0,0,0,12,Low,No
TXN0007774,CUST00270,2025-01-08 15:00:00,3005.0,India,Card Payment,Card,Real Estate,Kavya Jain,22,Current,Low,0,0,0,0,0,0,17,Low,No
TXN0008870,CUST00263,2025-01-08 16:00:00,7163.0,Singapore,International Transfer,Online Banking,Retail,Karan Mishra,35,Savings,High,0,0,1,0,1,0,46,Medium,No
TXN0009609,CUST01318,2025-01-08 16:00:00,12883.0,United Kingdom,Online Payment,Mobile Banking,Financial Services,Neha Kumar,44,Business,Medium,0,0,0,0,0,0,6,Low,No
TXN0005085,CUST00710,2025-01-08 16:00:00,3040.0,United Kingdom,Cash Withdrawal,Branch,Travel,Vivaan Gupta,37,Savings,Low,0,0,0,0,0,0,6,Low,No
TXN0004229,CUST00162,2025-01-08 17:00:00,3526.0,India,Online Payment,ATM,Retail,Kavya Sharma,38,Savings,Medium,0,0,0,0,0,0,11,Low,No
TXN0002593,CUST00674,2025-01-08 19:00:00,9800.0,Hong Kong,International Transfer,Online Banking,Financial Services,Mohit Shah,63,Savings,Low,1,0,1,0,0,0,22,Low,No
TXN0007394,CUST00751,2025-01-08 23:00:00,7591.0,India,Card Payment,Online Banking,Electronics,Nikhil Gupta,42,Savings,Low,0,0,0,0,0,0,7,Low,No
TXN0009874,CUST00253,2025-01-08 23:00:00,6890.0,United Kingdom,Cash Deposit,ATM,Jewelry,Mohit Shah,38,Current,Low,0,0,0,0,0,0,14,Low,No
TXN0000317,CUST00790,2025-01-08 23:00:00,26172.0,Singapore,Online Payment,Branch,Food,Sneha Bansal,42,Savings,Low,0,0,0,0,0,0,12,Low,No
TXN0005848,CUST00060,2025-01-09 03:00:00,4272.0,India,Online Payment,Online Banking,Retail,Varun Gupta,40,Savings,Low,0,0,0,0,0,0,11,Low,No
TXN0007839,CUST00165,2025-01-09 05:00:00,2038.0,India,Online Payment,Mobile Banking,Retail,Isha Gupta,26,Savings,Medium,0,0,0,0,0,0,7,Low,No
TXN0002902,CUST00787,2025-01-09 15:00:00,9621.0,India,Cash Withdrawal,Online Banking,Retail,Karan Singh,58,Savings,Medium,0,0,0,0,0,0,8,Low,No
TXN0000154,CUST00802,2025-01-09 17:00:00,57244.0,India,Card Payment,Online Banking,Electronics,Rohan Yadav,44,Savings,Medium,0,0,0,0,0,0,20,Low,No
TXN0009502,CUST00970,2025-01-09 17:00:00,3347.0,India,International Transfer,Branch,Jewelry,Kavya Singh,49,Current,Medium,0,0,1,0,0,0,23,Low,No
